study	parameter	dose	dose_unit	substance	n	value	mean	sd	median	geometric_mean	Q1	Q3	min	max	unit
Garonzik2019	thalf	5	mg	apixaban	19		12.7	5.32							hr
#															
Jeong2019	cmax	10	mg	apixaban	23		371.57	371.57							ng/ml
Jeong2019	tmax	10	mg	apixaban	23				4.00				1.00	4.00	hr
#															
Kreutz2017	aucend_12	5	mg	apixaban	24					944					ug*hr/l
Kreutz2017	cmax	5	mg	apixaban	24					139					ug/l
Kreutz2017	tmax	5	mg	apixaban	24				3				1.0	4.0	hr
#															
Leong2024	aucend_72	5	mg	apixaban	26		2324	362					1684	3145	ng/ml*hr
Leong2024	aucinf	5	mg	apixaban	26		2362	359					1723	3178	ng/ml*hr
Leong2024	cmax	5	mg	apixaban	26		256	59.2					117	375	ng/ml
Leong2024	tmax	5	mg	apixaban	26				2				1	6	hr
Leong2024	thalf	5	mg	apixaban	26		9.4	2.7					6.3	16.5	hr
#															
Leong2024	aucend_72	5	mg	apixaban	26		2249	429					1546	3206	ng/ml*hr
Leong2024	aucinf	5	mg	apixaban	26		2282	431					1585	3225	ng/ml*hr
Leong2024	cmax	5	mg	apixaban	26		234	51.5					127	339	ng/ml
Leong2024	tmax	5	mg	apixaban	26				2.7				1	4.5	hr
Leong2024	thalf	5	mg	apixaban	26		9.2	2.2					5.9	12.9	hr
#															
Raghavan2009	cmax	20	mg	apixaban	10		469	79.73							ng/ml
Raghavan2009	aucend_72	20	mg	apixaban	10		4050	1012.5							ng/ml*hr
Raghavan2009	aucinf	20	mg	apixaban	10		4101	1025.25							ng/ml*hr
Raghavan2009	tmax	20	mg	apixaban	10				1				0.5	2	hr
Raghavan2009	thalf	20	mg	apixaban	10		12.7	8.55							hr
#															
Shaikh2021	cmax	5	mg	apixaban	23		171	31.6							ng/ml
Shaikh2021	aucinf	5	mg	apixaban	23		1591	325							ng*hr/ml
Shaikh2021	tmax	5	mg	apixaban	23		2.72	1.23							hr
Shaikh2021	thalf	5	mg	apixaban	23		5.3333	0.903							hr
Shaikh2021	kel	5	mg	apixaban	23		0.133	0.02							1/hr
#															
Shaikh2021	cmax	5	mg	apixaban	23		156	337.8							ng/ml
Shaikh2021	aucinf	5	mg	apixaban	23		1510	410							ng*hr/ml
Shaikh2021	tmax	5	mg	apixaban	23		3.1	1.22							hr
Shaikh2021	thalf	5	mg	apixaban	23		5.64	1.15							hr
Shaikh2021	kel	5	mg	apixaban	23		0.127	0.021							1/hr
#															
Song2015	cmax	10	mg	apixaban	14					294					ng/ml
Song2015	aucinf	10	mg	apixaban	14					2707					ng/ml*hr
Song2015	aucend_72	10	mg	apixaban	14					2663					ng/ml*hr
Song2015	tmax	10	mg	apixaban	14				2				0.5	4.05	hr
Song2015	thalf	10	mg	apixaban	14		12.3	4.5							hr
#															
Song2016	cmax	5	mg	apixaban	22					121.30					ng/ml
Song2016	aucinf	5	mg	apixaban	22					1229.00					ng*hr/ml
Song2016	aucend_72	5	mg	apixaban	22					1200.0					ng*hr/ml
Song2016	tmax	5	mg	apixaban	22				3.0				1.0	6.0	hr
Song2016	thalf	5	mg	apixaban	22		9.9	2.4							hr
#															
Song2016	cmax	5	mg	apixaban	22					103.2					ng/ml
Song2016	aucinf	5	mg	apixaban	22					971.6					ng*hr/ml
Song2016	aucend_72	5	mg	apixaban	22					937.60					ng*hr/ml
Song2016	tmax	5	mg	apixaban	22				2.00				0.9	4.0	hr
Song2016	thalf	5	mg	apixaban	22		10.7	3.0							hr
#															
Upreti2013	cmax	10	mg	apixaban	1	380.5									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	366.6									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	354.8									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	319.4									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	307.2									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	286.6									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	293.8									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	289.6									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	285.4									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	284.1									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	284.1									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	279.5									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	274.4									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	253.4									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	240.3									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	238.2									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	130.9									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	97.7									ng/ml
#															
Upreti2013	cmax	10	mg	apixaban	1	331.3									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	254.3									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	251.8									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	242.1									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	234.5									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	245.5									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	237.1									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	229.1									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	219.4									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	195.4									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	205.9									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	175.6									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	176.9									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	148.2									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	136.9									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	133.5									ng/ml
#															
Upreti2013	cmax	10	mg	apixaban	1	250.3									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	198.9									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	191.3									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	175.8									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	173.2									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	156.4									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	162.3									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	136.2									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	84.4									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	112.2									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	122.8									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	153.5									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	175.5									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	160.8									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	139.7									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	103.5									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	95.1									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	113.2									ng/ml
Upreti2013	cmax	10	mg	apixaban	1	130.5									ng/ml
#															
Upreti2013	aucinf	10	mg	apixaban	1	3728.5									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	3273.9									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2975.1									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2979.3									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2933									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2806.7									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2789.9									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2739.4									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2697.3									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2731									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2571									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2566.8									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2255.4									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2284.8									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2217.5									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1859.8									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1207.4									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1076.9									ng/ml*hr
#															
Upreti2013	aucinf	10	mg	apixaban	1	2638.4									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2259.6									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2326.9									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2251.2									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1977.6									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1893.4									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1699.8									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1990.2									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2074.4									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1977.6									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1830.3									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1796.6									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1788.2									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1670.4									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1502									ng/ml*hr
#															
Upreti2013	aucinf	10	mg	apixaban	1	2651									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2529									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2129.1									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	2137.5									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1994.4									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1855.6									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1582									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1531.5									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1093.8									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1106.4									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	824.4									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	942.3									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1013.8									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1720.9									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1939.7									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1712.5									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1619.9									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1342.1									ng/ml*hr
Upreti2013	aucinf	10	mg	apixaban	1	1590.4									ng/ml*hr
#															
Upreti2013	cmax	10	mg	apixaban	18		264	68.64							ng/ml
Upreti2013	aucinf	10	mg	apixaban	18		2424	630.24							ng/ml*hr
Upreti2013	thalf	10	mg	apixaban	18		15.8	9.8							hr
Upreti2013	cl_renal	10	mg	apixaban	18		14.1	3.525							ml/min
#															
Upreti2013	cmax	10	mg	apixaban	18		207	49.68							ng/ml
Upreti2013	aucinf	10	mg	apixaban	18		2024	485.76							ng/ml*hr
Upreti2013	thalf	10	mg	apixaban	18		12	5.35							hr
Upreti2013	cl_renal	10	mg	apixaban	18		12.6	5.67							ml/min
#															
Upreti2013	cmax	10	mg	apixaban	18		144	40.32							ng/ml
Upreti2013	aucinf	10	mg	apixaban	18		1561	483.91							ng/ml*hr
Upreti2013	thalf	10	mg	apixaban	18		8.8	3.15							hr
Upreti2013	cl_renal	10	mg	apixaban	18		17.8	7.476							ml/min
#															
Tirona2018	aucend_12	2.5	mg	apixaban	12		671.0	174.0							ng*hr/ml
Tirona2018	aucinf	2.5	mg	apixaban	12		840.0	326.0							ng*hr/ml
Tirona2018	cmax	2.5	mg	apixaban	12		98.0	31.0							ng/ml
Tirona2018	tmax	2.5	mg	apixaban	12		2.6	1.1							hr
Tirona2018	thalf	2.5	mg	apixaban	12		4.5	1.5							hr
Tirona2018	cl_renal	2.5	mg	apixaban	12		16.2	5.4							ml/min
#															
Tirona2018	aucend_12	2.5	mg	apixaban	1	1067.6									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	753.6									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	661.8									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	480.7									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	702.9									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	787.4									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	739.1									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	659.4									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	603.9									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	570									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	362.3									ng*hr/ml
#															
Tirona2018	aucend_12	2.5	mg	apixaban	1	1258.5									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	1132.9									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	818.8									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	637.7									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	497.6									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	311.6									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	210.1									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	227.1									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	355.1									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	521.7									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	432.4									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	536.2									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	463.8									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	678.7									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	792.3									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	497.6									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	516.9									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	690.8									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	587									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	299.5									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	323.7									ng*hr/ml
Tirona2018	aucend_12	2.5	mg	apixaban	1	328.5									ng*hr/ml
#															
Upreti2013a	cmax	10	mg	apixaban	18					230.0					ng/ml
Upreti2013a	tmax	10	mg	apixaban	18				3.00				1.00	5.98	hr
Upreti2013a	aucend_60	10	mg	apixaban	18					2193.0					ng*hr/ml
Upreti2013a	aucinf	10	mg	apixaban	18					2222.0					ng*hr/ml
Upreti2013a	thalf	10	mg	apixaban	18		9.2	4.42							hr
#															
Vakkalagadda2016	cmax	10	mg	apixaban	20					148.60					ng/ml
Vakkalagadda2016	aucend_48	10	mg	apixaban	20					1639.00					ng*hr/ml
Vakkalagadda2016	aucinf	10	mg	apixaban	20					1795.00					ng*hr/ml
Vakkalagadda2016	tmax	10	mg	apixaban	20				3.0				2.0	4.0	hr
Vakkalagadda2016	thalf	10	mg	apixaban	20		13.91	3.52							hr
Vakkalagadda2016	cl_renal	10	mg	apixaban	20					0.88					l/hr
#															
Wang2014	aucend_72	20	mg	apixaban	18					4080.00					ng*hr/ml
Wang2014	aucinf	20	mg	apixaban	18					4185.00					ng*hr/ml
Wang2014	cmax	20	mg	apixaban	18					380.0					ng/ml
Wang2014	tmax	20	mg	apixaban	18				2.5				1.0	4.0	hr
Wang2014	thalf	20	mg	apixaban	18		13.4	5.1							hr
#															
Wang2016	cmax	5	mg	apixaban	8					126					ng/ml
Wang2016	aucinf	5	mg	apixaban	8					1265					ng/ml*hr
Wang2016	tmax	5	mg	apixaban	8				2				1	4	hr
Wang2016	thalf	5	mg	apixaban	8		20	14.45							hr
Wang2016	cl_renal	5	mg	apixaban	8					11.3					ml/min
