study	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y	y_unit	comments
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	104.137931034482	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	2.67961165048543	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	104.482758620689	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	4.71844660194174	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	105.51724137931	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	4.71844660194174	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	109.310344827586	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	7.10679611650485	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	110.0	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	4.48543689320388	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	111.03448275862	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	4.13592233009708	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	111.03448275862	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	7.63106796116504	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	112.068965517241	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	4.36893203883495	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	112.413793103448	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	4.95145631067961	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	114.137931034482	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	6.87378640776699	l/hr	NA
